,Mean hemoglobin level of women of reproductive age (aged 15-49 years),Prevalence of anaemia in children aged 6â€“59 months (%),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of non-pregnant women (aged 15-49 years)
627,132.0,19.0,15.1,133.0
628,132.0,18.6,14.8,133.0
629,133.0,18.3,14.7,133.0
630,133.0,18.2,14.7,133.0
631,133.0,18.1,14.6,133.0
632,133.0,18.2,14.8,133.0
633,133.0,18.3,15.0,133.0
634,133.0,18.4,15.1,133.0
635,133.0,18.5,15.2,133.0
636,133.0,18.8,15.4,133.0
637,125.0,30.2,30.1,126.0
638,125.0,30.0,29.6,126.0
639,126.0,29.8,29.1,126.0
640,126.0,29.5,28.6,126.0
641,126.0,29.3,28.0,126.0
642,126.0,28.9,27.3,127.0
643,127.0,28.5,26.6,127.0
644,127.0,28.0,25.7,127.0
645,127.0,27.5,24.8,128.0
646,128.0,26.9,24.0,128.0
647,128.0,26.3,23.2,129.0
648,129.0,25.6,22.5,129.0
649,129.0,24.9,22.0,129.0
650,129.0,24.3,21.5,129.0
651,129.0,23.8,21.2,130.0
652,129.0,23.3,21.0,130.0
653,129.0,22.9,20.9,130.0
654,129.0,22.5,20.9,130.0
655,129.0,22.3,20.9,130.0
656,129.0,22.2,21.1,130.0
657,122.0,61.3,37.9,124.0
658,123.0,60.5,37.3,124.0
659,123.0,59.9,36.8,124.0
660,123.0,59.4,36.3,124.0
661,123.0,58.8,35.8,124.0
662,123.0,58.2,35.2,125.0
663,124.0,57.5,34.6,125.0
664,124.0,56.8,34.0,125.0
665,124.0,56.2,33.5,125.0
666,124.0,55.5,33.1,125.0
667,124.0,55.0,32.7,126.0
668,125.0,54.4,32.4,126.0
669,125.0,54.1,32.2,126.0
670,125.0,53.9,32.2,126.0
671,125.0,53.8,32.3,126.0
672,125.0,53.8,32.5,126.0
673,124.0,53.9,32.7,125.0
674,124.0,53.9,32.9,125.0
675,124.0,53.9,33.1,125.0
676,124.0,53.9,33.5,125.0
677,130.0,20.1,15.9,130.0
678,130.0,19.9,15.5,131.0
679,130.0,19.8,15.1,131.0
680,131.0,19.7,14.7,131.0
681,131.0,19.7,14.3,131.0
682,131.0,19.6,13.9,131.0
683,131.0,19.5,13.5,132.0
684,131.0,19.4,13.1,132.0
685,132.0,19.3,12.8,132.0
686,132.0,19.1,12.5,132.0
687,132.0,18.9,12.2,132.0
688,132.0,18.8,12.1,132.0
689,132.0,18.7,12.1,132.0
690,132.0,18.6,12.1,132.0
691,132.0,18.6,12.2,132.0
692,132.0,18.6,12.4,132.0
693,132.0,18.6,12.6,132.0
694,132.0,18.7,12.9,132.0
695,132.0,18.8,13.2,132.0
696,131.0,19.0,13.6,132.0
697,129.0,20.5,21.1,129.0
698,129.0,20.2,20.9,129.0
699,129.0,20.0,20.8,129.0
700,129.0,19.8,20.7,129.0
701,129.0,19.7,20.7,129.0
702,129.0,19.5,20.7,129.0
703,129.0,19.4,20.6,129.0
704,129.0,19.2,20.6,129.0
705,129.0,19.0,20.5,129.0
706,129.0,18.8,20.4,129.0
707,129.0,18.7,20.4,129.0
708,129.0,18.7,20.4,129.0
709,129.0,18.7,20.4,129.0
710,129.0,18.7,20.4,129.0
711,129.0,18.8,20.4,129.0
712,129.0,19.0,20.4,129.0
713,129.0,19.2,20.5,129.0
714,129.0,19.4,20.5,129.0
715,129.0,19.8,20.7,129.0
716,129.0,20.2,20.9,129.0
717,131.0,13.4,12.2,131.0
718,131.0,13.2,12.0,131.0
719,131.0,13.1,11.9,131.0
720,131.0,13.0,11.8,131.0
721,131.0,13.0,11.8,131.0
722,131.0,12.9,11.8,131.0
723,131.0,12.9,11.8,131.0
724,131.0,12.9,11.7,131.0
725,131.0,12.8,11.7,131.0
726,131.0,12.8,11.6,131.0
727,131.0,12.8,11.7,131.0
728,131.0,12.9,11.7,131.0
729,131.0,12.9,11.8,131.0
730,131.0,13.1,11.9,131.0
731,131.0,13.2,12.1,131.0
732,131.0,13.4,12.3,131.0
733,131.0,13.7,12.5,131.0
734,131.0,13.9,12.8,131.0
735,131.0,14.2,13.1,131.0
736,131.0,14.5,13.4,131.0
737,131.0,12.9,12.0,131.0
738,131.0,13.0,12.0,131.0
739,131.0,13.1,11.9,131.0
740,131.0,13.0,11.7,131.0
741,131.0,12.8,11.5,131.0
742,131.0,12.7,11.4,131.0
743,131.0,12.7,11.4,131.0
744,131.0,12.6,11.3,131.0
745,131.0,12.5,11.2,132.0
746,131.0,12.5,11.1,132.0
747,131.0,12.6,11.1,132.0
748,131.0,12.8,11.2,132.0
749,131.0,13.0,11.3,131.0
750,131.0,13.1,11.3,131.0
751,131.0,13.3,11.4,131.0
752,131.0,13.5,11.5,131.0
753,131.0,13.8,11.6,131.0
754,131.0,14.1,11.8,131.0
755,131.0,14.2,11.9,131.0
756,131.0,14.5,12.1,131.0
757,123.0,61.5,36.7,124.0
758,123.0,60.5,36.1,124.0
759,124.0,59.4,35.3,125.0
760,124.0,58.3,34.5,125.0
761,124.0,57.2,33.7,125.0
762,125.0,56.2,32.8,126.0
763,125.0,55.4,32.2,126.0
764,125.0,54.7,31.8,126.0
765,125.0,54.0,31.2,126.0
766,126.0,53.3,30.8,126.0
767,126.0,52.8,30.5,126.0
768,126.0,52.4,30.5,126.0
769,126.0,52.1,30.6,126.0
770,126.0,52.0,30.7,126.0
771,125.0,51.9,30.8,126.0
772,125.0,51.9,31.0,126.0
773,125.0,52.0,31.2,126.0
774,125.0,52.0,31.5,126.0
775,125.0,52.0,31.7,126.0
776,125.0,52.0,32.1,126.0
777,126.0,31.9,24.8,127.0
778,126.0,31.4,23.9,127.0
779,126.0,30.9,23.1,127.0
780,127.0,30.5,22.4,127.0
781,127.0,30.1,21.7,128.0
782,127.0,29.6,21.1,128.0
783,127.0,29.2,20.4,128.0
784,128.0,28.5,19.7,128.0
785,128.0,27.8,19.0,128.0
786,128.0,27.1,18.5,129.0
787,128.0,26.3,18.0,129.0
788,128.0,25.6,17.5,129.0
789,129.0,25.0,17.0,129.0
790,129.0,24.5,16.8,129.0
791,129.0,24.3,16.7,129.0
792,129.0,24.0,16.7,129.0
793,129.0,23.8,16.7,129.0
794,129.0,23.7,16.7,129.0
795,129.0,23.6,16.8,129.0
796,129.0,23.5,17.0,129.0
797,123.0,39.6,35.9,124.0
798,123.0,39.6,35.6,124.0
799,123.0,39.8,35.5,124.0
800,123.0,40.0,35.4,124.0
801,123.0,40.1,35.1,124.0
802,123.0,40.2,34.8,124.0
803,124.0,40.0,34.4,124.0
804,124.0,39.7,34.0,124.0
805,124.0,39.1,33.5,124.0
806,124.0,38.4,32.8,125.0
807,124.0,37.7,32.2,125.0
808,124.0,36.9,31.7,125.0
809,125.0,36.2,31.2,125.0
810,125.0,35.5,30.9,125.0
811,125.0,34.9,30.5,125.0
812,125.0,34.1,29.9,126.0
813,125.0,33.5,29.4,126.0
814,125.0,33.0,29.0,126.0
815,125.0,32.5,28.7,126.0
816,126.0,32.2,28.4,126.0
817,135.0,21.9,11.1,136.0
818,135.0,22.2,10.8,136.0
819,135.0,22.5,10.7,136.0
820,135.0,22.9,10.5,136.0
821,135.0,23.3,10.4,136.0
822,135.0,23.7,10.3,136.0
823,135.0,24.1,10.2,136.0
824,135.0,24.3,10.1,136.0
825,135.0,24.5,10.0,136.0
826,135.0,24.7,9.9,135.0
827,135.0,24.9,9.8,135.0
828,135.0,24.9,9.7,135.0
829,135.0,24.9,9.7,135.0
830,135.0,24.9,9.6,135.0
831,134.0,24.9,9.7,135.0
832,134.0,24.8,9.7,135.0
833,134.0,24.7,9.8,135.0
834,134.0,24.6,9.9,135.0
835,134.0,24.6,10.1,134.0
836,134.0,24.6,10.4,134.0
837,115.0,77.7,56.3,116.0
838,115.0,76.8,55.4,116.0
839,115.0,75.9,54.6,116.0
840,115.0,75.0,53.9,117.0
841,116.0,74.1,53.1,117.0
842,116.0,73.1,52.4,117.0
843,116.0,72.2,51.6,118.0
844,117.0,71.2,50.8,118.0
845,117.0,70.3,49.9,118.0
846,117.0,69.5,49.1,119.0
847,118.0,68.9,48.3,119.0
848,118.0,68.3,47.6,119.0
849,118.0,67.9,46.9,119.0
850,119.0,67.5,46.4,120.0
851,119.0,67.2,45.8,120.0
852,119.0,66.8,45.4,120.0
853,119.0,66.3,45.0,120.0
854,119.0,65.7,44.6,120.0
855,120.0,65.0,44.3,121.0
856,120.0,64.3,44.2,121.0
857,121.0,59.5,40.8,122.0
858,121.0,58.1,40.3,122.0
859,121.0,56.8,39.9,123.0
860,122.0,55.7,39.5,123.0
861,122.0,54.7,39.1,123.0
862,122.0,53.8,38.7,123.0
863,122.0,53.0,38.2,123.0
864,122.0,52.1,37.6,123.0
865,123.0,51.3,37.1,124.0
866,123.0,50.6,36.6,124.0
867,123.0,49.9,36.2,124.0
868,123.0,49.4,35.9,124.0
869,123.0,49.0,35.7,124.0
870,123.0,48.8,35.7,124.0
871,123.0,48.7,35.7,124.0
872,123.0,48.6,35.9,124.0
873,123.0,48.7,36.1,124.0
874,123.0,48.7,36.2,124.0
875,123.0,48.8,36.4,124.0
876,123.0,48.8,36.7,124.0
877,129.0,23.1,21.6,129.0
878,129.0,22.4,21.3,129.0
879,129.0,21.8,21.2,129.0
880,129.0,21.3,21.1,129.0
881,129.0,20.7,20.9,129.0
882,129.0,20.3,20.8,129.0
883,129.0,19.8,20.8,129.0
884,129.0,19.3,20.6,129.0
885,129.0,18.7,20.4,129.0
886,129.0,18.4,20.4,129.0
887,129.0,18.1,20.5,129.0
888,129.0,18.0,20.6,129.0
889,129.0,17.8,20.7,129.0
890,129.0,17.7,20.7,129.0
891,128.0,17.7,21.0,129.0
892,128.0,17.7,21.1,129.0
893,128.0,17.7,21.2,129.0
894,128.0,17.7,21.3,129.0
895,128.0,17.8,21.4,129.0
896,128.0,18.0,21.7,129.0
897,125.0,68.5,32.4,126.0
898,125.0,66.5,31.5,126.0
899,125.0,64.4,30.6,127.0
900,126.0,62.4,29.7,127.0
901,126.0,60.4,28.7,128.0
902,127.0,58.5,27.6,128.0
903,127.0,56.9,26.5,129.0
904,128.0,55.3,25.4,129.0
905,128.0,53.8,24.3,129.0
906,129.0,52.6,23.3,130.0
907,129.0,51.6,22.6,130.0
908,129.0,51.0,22.0,130.0
909,129.0,50.6,21.8,130.0
910,129.0,50.4,21.6,130.0
911,129.0,50.3,21.7,130.0
912,129.0,50.5,21.9,130.0
913,129.0,50.9,22.2,130.0
914,128.0,51.2,22.5,129.0
915,128.0,51.6,22.9,129.0
916,128.0,52.1,23.5,129.0
917,123.0,36.3,34.1,124.0
918,123.0,36.8,33.6,124.0
919,123.0,37.3,33.1,124.0
920,123.0,38.0,32.7,124.0
921,123.0,38.7,32.5,124.0
922,123.0,39.4,32.2,124.0
923,123.0,40.0,31.9,124.0
924,123.0,40.4,31.7,124.0
925,124.0,40.5,31.4,124.0
926,124.0,40.5,31.1,124.0
927,124.0,40.4,31.0,124.0
928,124.0,40.3,30.9,124.0
929,124.0,40.1,30.9,124.0
930,124.0,39.9,30.8,124.0
931,124.0,39.8,30.8,124.0
932,124.0,39.8,30.8,124.0
933,124.0,39.9,31.0,124.0
934,124.0,39.9,31.1,124.0
935,124.0,39.9,31.2,124.0
936,124.0,39.9,31.5,124.0
937,132.0,10.7,10.3,132.0
938,132.0,10.5,10.1,132.0
939,132.0,10.4,10.0,132.0
940,132.0,10.3,9.9,132.0
941,132.0,10.3,9.8,132.0
942,132.0,10.2,9.7,133.0
943,132.0,10.2,9.6,133.0
944,132.0,10.1,9.5,133.0
945,132.0,10.1,9.5,133.0
946,132.0,10.0,9.4,133.0
947,132.0,10.0,9.4,133.0
948,132.0,10.0,9.4,133.0
949,132.0,10.1,9.5,133.0
950,132.0,10.2,9.6,132.0
951,132.0,10.4,9.7,132.0
952,132.0,10.5,9.8,132.0
953,132.0,10.8,10.0,132.0
954,132.0,11.1,10.2,132.0
955,132.0,11.4,10.5,132.0
956,132.0,11.8,10.7,132.0
957,133.0,10.9,8.2,133.0
958,133.0,10.7,8.1,133.0
959,133.0,10.7,8.1,133.0
960,133.0,10.7,8.2,133.0
961,133.0,10.9,8.2,133.0
962,133.0,10.9,8.3,133.0
963,133.0,11.0,8.3,133.0
964,132.0,11.1,8.4,133.0
965,132.0,11.2,8.4,133.0
966,132.0,11.3,8.4,133.0
967,132.0,11.4,8.4,133.0
968,132.0,11.5,8.5,133.0
969,132.0,11.7,8.6,133.0
970,132.0,11.9,8.7,133.0
971,132.0,12.3,8.9,133.0
972,132.0,12.7,9.2,133.0
973,132.0,13.1,9.5,132.0
974,132.0,13.6,9.8,132.0
975,132.0,14.2,10.1,132.0
976,132.0,14.7,10.4,132.0
977,114.0,68.3,58.6,115.0
978,114.0,67.9,58.5,115.0
979,114.0,67.4,58.4,115.0
980,114.0,67.0,58.3,115.0
981,114.0,66.4,58.2,115.0
982,114.0,65.9,58.0,115.0
983,115.0,65.4,57.8,115.0
984,115.0,64.8,57.4,116.0
985,115.0,64.2,57.1,116.0
986,115.0,63.7,56.7,116.0
987,115.0,63.2,56.3,116.0
988,116.0,62.8,55.9,116.0
989,116.0,62.3,55.4,117.0
990,116.0,61.9,54.9,117.0
991,116.0,61.5,54.4,117.0
992,116.0,60.9,54.0,117.0
993,117.0,60.1,53.6,117.0
994,117.0,59.4,53.2,117.0
995,117.0,58.6,52.8,118.0
996,117.0,57.9,52.4,118.0
997,125.0,36.9,31.6,125.0
998,125.0,35.7,31.0,125.0
999,125.0,34.4,30.4,125.0
1000,125.0,33.2,29.9,125.0
1001,125.0,31.9,29.3,126.0
1002,126.0,30.7,28.9,126.0
1003,126.0,29.6,28.7,126.0
1004,126.0,28.5,28.3,126.0
1005,126.0,27.5,27.9,126.0
1006,126.0,26.6,27.7,126.0
1007,126.0,25.7,27.4,126.0
1008,126.0,24.9,27.1,126.0
1009,126.0,24.3,26.9,126.0
1010,126.0,23.9,26.8,127.0
1011,126.0,23.7,26.8,127.0
1012,126.0,23.6,26.8,127.0
1013,126.0,23.7,26.8,127.0
1014,126.0,23.9,26.9,127.0
1015,126.0,24.2,27.2,126.0
1016,126.0,24.6,27.5,126.0
1017,132.0,11.7,9.7,132.0
1018,132.0,11.6,9.6,132.0
1019,132.0,11.6,9.5,132.0
1020,132.0,11.7,9.5,132.0
1021,132.0,11.7,9.4,132.0
1022,132.0,11.7,9.4,132.0
1023,132.0,11.7,9.3,132.0
1024,132.0,11.7,9.3,132.0
1025,132.0,11.8,9.3,132.0
1026,132.0,11.8,9.3,132.0
1027,132.0,11.9,9.3,132.0
1028,132.0,12.0,9.4,132.0
1029,132.0,12.1,9.5,132.0
1030,132.0,12.4,9.6,132.0
1031,132.0,12.7,9.8,132.0
1032,132.0,13.1,10.1,132.0
1033,132.0,13.5,10.4,132.0
1034,131.0,14.0,10.7,132.0
1035,131.0,14.5,11.1,132.0
1036,131.0,15.1,11.6,132.0
1037,118.0,76.4,48.4,119.0
1038,118.0,76.2,48.4,119.0
1039,118.0,76.0,48.6,119.0
1040,118.0,75.7,48.8,119.0
1041,118.0,75.3,48.9,119.0
1042,118.0,74.8,48.8,119.0
1043,118.0,74.2,48.6,119.0
1044,118.0,73.5,48.1,119.0
1045,118.0,72.6,47.5,119.0
1046,119.0,71.7,46.7,120.0
1047,119.0,70.5,45.7,120.0
1048,120.0,69.4,44.5,121.0
1049,120.0,68.4,43.4,121.0
1050,120.0,67.5,42.4,121.0
1051,121.0,66.5,41.1,122.0
1052,121.0,65.4,39.8,122.0
1053,122.0,64.1,38.4,123.0
1054,122.0,62.6,36.9,123.0
1055,123.0,61.0,35.6,124.0
1056,123.0,59.5,34.5,124.0
1057,131.0,14.0,12.8,131.0
1058,131.0,13.7,12.6,131.0
1059,131.0,13.5,12.4,131.0
1060,131.0,13.3,12.3,131.0
1061,131.0,13.3,12.3,131.0
1062,131.0,13.3,12.4,131.0
1063,131.0,13.3,12.3,131.0
1064,131.0,13.3,12.3,131.0
1065,131.0,13.3,12.3,131.0
1066,131.0,13.4,12.3,131.0
1067,131.0,13.6,12.4,131.0
1068,131.0,13.8,12.5,131.0
1069,131.0,14.1,12.7,131.0
1070,131.0,14.5,12.9,131.0
1071,131.0,15.0,13.2,131.0
1072,130.0,15.4,13.5,131.0
1073,130.0,15.8,13.8,131.0
1074,130.0,16.2,14.2,131.0
1075,130.0,16.5,14.6,130.0
1076,130.0,16.7,14.9,130.0
1077,128.0,24.5,24.5,128.0
1078,128.0,24.3,23.8,128.0
1079,128.0,24.2,23.2,129.0
1080,129.0,24.0,22.4,129.0
1081,129.0,24.1,22.0,129.0
1082,129.0,24.1,21.4,129.0
1083,129.0,24.1,21.0,130.0
1084,129.0,24.1,20.5,130.0
1085,130.0,24.0,20.0,130.0
1086,130.0,24.0,19.6,130.0
1087,130.0,24.1,19.4,130.0
1088,130.0,23.9,19.0,130.0
1089,130.0,23.8,18.7,130.0
1090,130.0,23.8,18.6,130.0
1091,130.0,23.7,18.5,131.0
1092,130.0,23.7,18.5,130.0
1093,130.0,23.6,18.6,130.0
1094,130.0,23.6,18.7,130.0
1095,130.0,23.6,18.8,130.0
1096,130.0,23.6,19.0,130.0
1097,129.0,32.7,22.0,130.0
1098,129.0,32.8,20.8,130.0
1099,130.0,32.9,19.8,131.0
1100,130.0,33.0,19.0,131.0
1101,131.0,32.8,18.2,132.0
1102,131.0,32.2,17.2,132.0
1103,131.0,31.4,16.4,132.0
1104,132.0,30.1,15.5,133.0
1105,132.0,28.4,14.5,133.0
1106,133.0,26.4,13.5,134.0
1107,133.0,24.0,12.5,134.0
1108,134.0,21.5,11.5,135.0
1109,134.0,19.1,10.6,135.0
1110,135.0,16.7,9.8,136.0
1111,135.0,14.7,9.1,136.0
1112,135.0,13.1,8.5,136.0
1113,136.0,11.8,8.0,136.0
1114,136.0,10.8,7.6,137.0
1115,136.0,10.2,7.3,137.0
1116,136.0,9.8,7.0,137.0
1117,116.0,80.9,51.6,118.0
1118,116.0,80.2,51.7,118.0
1119,116.0,79.6,51.8,118.0
1120,116.0,78.9,51.9,118.0
1121,116.0,78.3,51.9,118.0
1122,116.0,77.7,51.9,118.0
1123,116.0,77.2,51.8,118.0
1124,117.0,76.8,51.7,118.0
1125,117.0,76.5,51.4,118.0
1126,117.0,76.3,51.1,118.0
1127,117.0,76.2,50.8,118.0
1128,117.0,76.1,50.6,118.0
1129,117.0,76.1,50.3,119.0
1130,117.0,76.1,50.1,119.0
1131,118.0,76.1,49.8,119.0
1132,118.0,75.9,49.4,119.0
1133,118.0,75.6,48.9,119.0
1134,118.0,75.1,48.4,119.0
1135,118.0,74.4,47.9,119.0
1136,118.0,73.8,47.5,120.0
1137,116.0,79.7,53.5,117.0
1138,116.0,79.2,53.2,117.0
1139,116.0,78.6,53.0,117.0
1140,116.0,78.0,52.8,117.0
1141,116.0,77.3,52.6,118.0
1142,116.0,76.6,52.3,118.0
1143,117.0,75.9,52.0,118.0
1144,117.0,75.2,51.7,118.0
1145,117.0,74.5,51.2,118.0
1146,117.0,73.8,50.7,118.0
1147,117.0,73.2,50.2,119.0
1148,118.0,72.6,49.8,119.0
1149,118.0,72.2,49.4,119.0
1150,118.0,71.8,49.1,119.0
1151,118.0,71.3,48.9,119.0
1152,118.0,70.9,48.6,119.0
1153,118.0,70.4,48.4,119.0
1154,118.0,69.7,48.1,119.0
1155,119.0,68.9,47.9,120.0
1156,119.0,68.0,47.7,120.0
1157,120.0,39.7,44.5,120.0
1158,120.0,39.4,43.4,121.0
1159,121.0,39.2,42.4,121.0
1160,121.0,39.1,41.8,121.0
1161,121.0,39.1,41.3,122.0
1162,121.0,38.9,40.5,122.0
1163,122.0,38.6,39.6,122.0
1164,122.0,38.2,38.8,122.0
1165,122.0,37.6,38.0,123.0
1166,123.0,36.9,37.0,123.0
1167,123.0,36.0,36.0,124.0
1168,123.0,35.1,35.2,124.0
1169,124.0,34.1,34.4,124.0
1170,124.0,33.4,33.8,124.0
1171,124.0,32.5,33.2,125.0
1172,124.0,31.7,32.6,125.0
1173,124.0,31.0,32.2,125.0
1174,125.0,30.3,31.9,125.0
1175,125.0,29.8,31.7,125.0
1176,125.0,29.3,31.6,125.0
1177,115.0,64.4,53.8,116.0
1178,116.0,64.1,53.1,117.0
1179,116.0,63.8,52.4,117.0
1180,116.0,63.7,51.8,117.0
1181,117.0,63.6,51.2,117.0
1182,117.0,63.5,50.6,118.0
1183,117.0,63.5,50.1,118.0
1184,117.0,63.4,49.6,118.0
1185,118.0,63.2,49.0,118.0
1186,118.0,63.1,48.5,119.0
1187,118.0,62.9,48.0,119.0
1188,118.0,62.7,47.7,119.0
1189,118.0,62.5,47.4,119.0
1190,119.0,62.4,47.3,119.0
1191,119.0,62.2,47.2,119.0
1192,119.0,62.0,47.2,119.0
1193,119.0,61.7,47.3,119.0
1194,119.0,61.3,47.4,119.0
1195,119.0,60.7,47.5,119.0
1196,119.0,60.1,47.6,119.0
1197,128.0,35.5,21.1,129.0
1198,129.0,35.6,20.3,130.0
1199,129.0,35.7,19.6,130.0
1200,129.0,35.8,19.0,130.0
1201,130.0,35.9,18.5,131.0
1202,130.0,35.8,18.0,131.0
1203,130.0,35.6,17.6,131.0
1204,130.0,35.3,17.3,131.0
1205,131.0,34.7,17.0,131.0
1206,131.0,34.1,16.7,132.0
1207,131.0,33.3,16.5,132.0
1208,131.0,32.5,16.4,132.0
1209,131.0,31.7,16.3,132.0
1210,131.0,30.9,16.3,132.0
1211,131.0,30.0,16.4,132.0
1212,131.0,29.2,16.6,132.0
1213,131.0,28.4,16.8,132.0
1214,131.0,27.6,17.1,131.0
1215,131.0,26.9,17.4,131.0
1216,131.0,26.2,17.8,131.0
1217,130.0,20.6,19.2,130.0
1218,130.0,19.9,18.9,130.0
1219,130.0,19.4,18.7,130.0
1220,130.0,19.1,18.7,130.0
1221,130.0,18.9,18.7,130.0
1222,130.0,18.7,18.8,130.0
1223,130.0,18.7,18.9,130.0
1224,129.0,18.6,19.1,130.0
1225,129.0,18.4,19.1,130.0
1226,129.0,18.3,19.2,130.0
1227,129.0,18.3,19.4,129.0
1228,129.0,18.4,19.5,129.0
1229,129.0,18.4,19.5,129.0
1230,129.0,18.4,19.6,129.0
1231,129.0,18.4,19.5,129.0
1232,129.0,18.3,19.5,130.0
1233,129.0,18.1,19.5,130.0
1234,129.0,17.9,19.4,130.0
1235,129.0,17.9,19.4,130.0
1236,129.0,18.1,19.6,130.0
1237,132.0,10.2,9.9,133.0
1238,132.0,9.9,9.7,133.0
1239,132.0,9.7,9.5,133.0
1240,132.0,9.6,9.4,133.0
1241,132.0,9.5,9.3,133.0
1242,132.0,9.4,9.2,133.0
1243,132.0,9.4,9.2,133.0
1244,132.0,9.4,9.2,133.0
1245,132.0,9.4,9.1,133.0
1246,132.0,9.4,9.1,133.0
1247,132.0,9.4,9.1,133.0
1248,132.0,9.6,9.1,133.0
1249,132.0,9.7,9.2,133.0
1250,132.0,9.8,9.3,133.0
